state_fips,state_abbr,state,year,aqi_median,aqi_days
27,MN,Minnesota,2013,38.0,305.8
28,MS,Mississippi,2013,40.9,311.6
29,MO,Missouri,2013,45.38095238095238,290.7142857142857
30,MT,Montana,2013,32.0,298.7894736842105
31,NE,Nebraska,2013,31.90909090909091,205.36363636363637
32,NV,Nevada,2013,39.2,289.5
33,NH,New Hampshire,2013,40.57142857142857,326.0
34,NJ,New Jersey,2013,42.375,338.625
35,NM,New Mexico,2013,35.5,274.1666666666667
36,NY,New York,2013,38.689655172413794,354.3448275862069
37,NC,North Carolina,2013,42.0,281.5652173913044
38,ND,North Dakota,2013,39.44444444444444,363.44444444444446
39,OH,Ohio,2013,44.26315789473684,299.7368421052632
40,OK,Oklahoma,2013,42.608695652173914,306.60869565217394
41,OR,Oregon,2013,39.458333333333336,345.3333333333333
42,PA,Pennsylvania,2013,46.921052631578945,359.8157894736842
00,NA,Puerto Rico,2013,19.916666666666668,244.83333333333334
44,RI,Rhode Island,2013,43.666666666666664,362.3333333333333
45,SC,South Carolina,2013,39.526315789473685,282.6842105263158
46,SD,South Dakota,2013,42.333333333333336,335.55555555555554
47,TN,Tennessee,2013,43.0,265.96
48,TX,Texas,2013,43.04651162790697,344.09302325581393
49,UT,Utah,2013,46.46666666666667,330.93333333333334
50,VT,Vermont,2013,35.75,302.5
00,NA,Virgin Islands,2013,27.5,68.0
51,VA,Virginia,2013,33.52777777777778,249.0
53,WA,Washington,2013,34.37931034482759,346.62068965517244
54,WV,West Virginia,2013,40.0,267.53333333333336
55,WI,Wisconsin,2013,37.875,250.6875
56,WY,Wyoming,2013,37.27777777777778,318.1666666666667
01,AL,Alabama,2014,41.77777777777778,260.44444444444446
02,AK,Alaska,2014,27.0,274.25
04,AZ,Arizona,2014,44.61538461538461,357.3076923076923
05,AR,Arkansas,2014,42.45454545454545,250.1818181818182
06,CA,California,2014,52.51851851851852,344.462962962963
08,CO,Colorado,2014,37.233333333333334,302.26666666666665
09,CT,Connecticut,2014,45.125,316.125
00,NA,Country Of Mexico,2014,48.0,132.5
10,DE,Delaware,2014,49.666666666666664,364.6666666666667
11,DC,District Of Columbia,2014,53.0,365.0
12,FL,Florida,2014,40.794871794871796,347.71794871794873
13,GA,Georgia,2014,47.78125,293.40625
15,HI,Hawaii,2014,35.5,349.75
16,ID,Idaho,2014,31.8,330.9
17,IL,Illinois,2014,40.91304347826087,312.04347826086956
18,IN,Indiana,2014,46.87179487179487,259.6666666666667
19,IA,Iowa,2014,44.89473684210526,279.94736842105266
20,KS,Kansas,2014,34.0,285.5833333333333
21,KY,Kentucky,2014,41.793103448275865,295.44827586206895
22,LA,Louisiana,2014,43.72727272727273,335.1363636363636
23,ME,Maine,2014,36.0,300.54545454545456
24,MD,Maryland,2014,46.5625,310.625
25,MA,Massachusetts,2014,42.92307692307692,361.38461538461536
26,MI,Michigan,2014,42.57142857142857,273.5
27,MN,Minnesota,2014,36.61904761904762,312.85714285714283
28,MS,Mississippi,2014,41.7,307.3
29,MO,Missouri,2014,43.80952380952381,290.6666666666667
30,MT,Montana,2014,31.68421052631579,304.8421052631579
31,NE,Nebraska,2014,30.09090909090909,201.36363636363637
32,NV,Nevada,2014,42.888888888888886,327.8888888888889
33,NH,New Hampshire,2014,40.857142857142854,333.57142857142856
34,NJ,New Jersey,2014,43.0625,340.25
35,NM,New Mexico,2014,35.294117647058826,283.11764705882354
36,NY,New York,2014,38.41379310344828,355.37931034482756
37,NC,North Carolina,2014,44.5,284.69565217391306
38,ND,North Dakota,2014,36.333333333333336,362.8888888888889
39,OH,Ohio,2014,44.526315789473685,299.7105263157895
40,OK,Oklahoma,2014,41.63636363636363,334.09090909090907
41,OR,Oregon,2014,34.08695652173913,345.5217391304348
42,PA,Pennsylvania,2014,47.23684210526316,359.2631578947368
00,NA,Puerto Rico,2014,19.5,213.0
44,RI,Rhode Island,2014,40.333333333333336,364.3333333333333
45,SC,South Carolina,2014,42.10526315789474,285.0
46,SD,South Dakota,2014,36.333333333333336,336.22222222222223
47,TN,Tennessee,2014,42.833333333333336,270.9583333333333
48,TX,Texas,2014,42.53488372093023,339.93023255813955
49,UT,Utah,2014,42.86666666666667,333.1333333333333
50,VT,Vermont,2014,33.75,303.0
00,NA,Virgin Islands,2014,40.5,78.5
51,VA,Virginia,2014,34.457142857142856,260.9714285714286
53,WA,Washington,2014,31.586206896551722,343.3448275862069
54,WV,West Virginia,2014,39.06666666666667,261.4
55,WI,Wisconsin,2014,41.07692307692308,292.2307692307692
56,WY,Wyoming,2014,35.89473684210526,309.89473684210526
01,AL,Alabama,2015,44.94444444444444,287.27777777777777
02,AK,Alaska,2015,26.625,255.625
04,AZ,Arizona,2015,41.38461538461539,359.2307692307692
05,AR,Arkansas,2015,41.27272727272727,248.27272727272728
06,CA,California,2015,52.648148148148145,344.2037037037037
08,CO,Colorado,2015,36.096774193548384,289.96774193548384
09,CT,Connecticut,2015,44.5,317.625
00,NA,Country Of Mexico,2015,73.0,56.0
10,DE,Delaware,2015,47.0,365.0
11,DC,District Of Columbia,2015,53.0,365.0
12,FL,Florida,2015,38.84615384615385,353.05128205128204
13,GA,Georgia,2015,44.25,294.4375
15,HI,Hawaii,2015,38.0,364.25
16,ID,Idaho,2015,30.9,280.4
17,IL,Illinois,2015,42.0,315.9130434782609
18,IN,Indiana,2015,44.76923076923077,265.02564102564105
19,IA,Iowa,2015,43.68421052631579,280.94736842105266
20,KS,Kansas,2015,33.72727272727273,310.90909090909093
21,KY,Kentucky,2015,42.607142857142854,302.07142857142856
22,LA,Louisiana,2015,41.5,315.1818181818182
23,ME,Maine,2015,36.75,282.8333333333333
24,MD,Maryland,2015,46.875,315.4375
25,MA,Massachusetts,2015,40.07692307692308,352.15384615384613
26,MI,Michigan,2015,42.035714285714285,275.5357142857143
27,MN,Minnesota,2015,36.095238095238095,316.9047619047619
28,MS,Mississippi,2015,40.18181818181818,295.6363636363636
29,MO,Missouri,2015,42.42857142857143,288.6190476190476
30,MT,Montana,2015,32.94736842105263,307.7894736842105
31,NE,Nebraska,2015,30.727272727272727,209.0
32,NV,Nevada,2015,41.666666666666664,336.3333333333333
33,NH,New Hampshire,2015,40.285714285714285,341.2857142857143
34,NJ,New Jersey,2015,42.375,341.5625
35,NM,New Mexico,2015,32.125,283.125
36,NY,New York,2015,38.96551724137931,352.2413793103448
37,NC,North Carolina,2015,43.18181818181818,275.29545454545456
38,ND,North Dakota,2015,35.5,364.3
39,OH,Ohio,2015,42.69230769230769,298.15384615384613
40,OK,Oklahoma,2015,38.608695652173914,303.1304347826087
41,OR,Oregon,2015,35.391304347826086,345.95652173913044
42,PA,Pennsylvania,2015,46.972972972972975,361.0810810810811
00,NA,Puerto Rico,2015,22.0,262.5
44,RI,Rhode Island,2015,44.666666666666664,361.0
45,SC,South Carolina,2015,39.26315789473684,295.3157894736842
46,SD,South Dakota,2015,38.2,338.7
47,TN,Tennessee,2015,41.208333333333336,259.0
48,TX,Texas,2015,41.609756097560975,349.7560975609756
49,UT,Utah,2015,41.92857142857143,341.42857142857144
50,VT,Vermont,2015,34.0,301.75
00,NA,Virgin Islands,2015,43.0,73.5
51,VA,Virginia,2015,34.82857142857143,260.74285714285713
53,WA,Washington,2015,33.793103448275865,345.9310344827586
54,WV,West Virginia,2015,39.53333333333333,260.06666666666666
55,WI,Wisconsin,2015,39.74074074074074,288.74074074074076
56,WY,Wyoming,2015,35.89473684210526,309.36842105263156
01,AL,Alabama,2016,44.27777777777778,277.55555555555554
02,AK,Alaska,2016,28.571428571428573,285.2857142857143
04,AZ,Arizona,2016,44.07692307692308,363.6923076923077
05,AR,Arkansas,2016,42.45454545454545,252.54545454545453
06,CA,California,2016,50.074074074074076,351.85185185185185
08,CO,Colorado,2016,36.03125,288.125
09,CT,Connecticut,2016,42.875,316.125
00,NA,Country Of Mexico,2016,67.0,276.0
10,DE,Delaware,2016,45.666666666666664,365.3333333333333
11,DC,District Of Columbia,2016,53.0,366.0
12,FL,Florida,2016,41.256410256410255,354.28205128205127
13,GA,Georgia,2016,44.5,285.28125
15,HI,Hawaii,2016,35.75,364.0
16,ID,Idaho,2016,31.35,322.35
17,IL,Illinois,2016,41.43478260869565,319.69565217391306
18,IN,Indiana,2016,42.62162162162162,271.05405405405406
19,IA,Iowa,2016,41.421052631578945,282.2105263157895
20,KS,Kansas,2016,33.90909090909091,314.6363636363636
21,KY,Kentucky,2016,43.57142857142857,306.2857142857143
22,LA,Louisiana,2016,41.86363636363637,329.1363636363636
23,ME,Maine,2016,34.81818181818182,329.45454545454544
24,MD,Maryland,2016,44.9375,317.625
25,MA,Massachusetts,2016,38.61538461538461,363.0
26,MI,Michigan,2016,39.785714285714285,274.35714285714283
